,Drug Regimen,Tumor Volume (mm3)
175,Naftisol,54.8346245
176,Naftisol,56.96627332
177,Naftisol,60.07237198
178,Naftisol,63.29854586
179,Naftisol,69.27381374
180,Naftisol,74.99776443
181,Naftisol,45.0
182,Naftisol,48.47500273
183,Naftisol,45.0
184,Naftisol,46.35925829
185,Naftisol,50.70389965
186,Naftisol,55.58461724
187,Naftisol,57.22940914
188,Naftisol,59.82606797
189,Naftisol,64.2345947
190,Naftisol,67.74432795
191,Naftisol,69.72832559
192,Naftisol,75.11328801
193,Ketapril,45.0
194,Ketapril,46.27499735
195,Ketapril,50.18096763
196,Ketapril,54.42916821
197,Ketapril,57.82435071
198,Ketapril,59.50390392
199,Ketapril,63.46944155
200,Ketapril,66.07918483
201,Ketapril,67.42095521
202,Ketapril,73.71561899999999
203,Ketapril,45.0
204,Ketapril,48.45745927
205,Ketapril,49.93597024
206,Ketapril,52.24630985
207,Ketapril,53.67624336
208,Ketapril,56.95791715
209,Ketapril,60.09663467
210,Ketapril,61.40961994
211,Ketapril,63.07258467
212,Ketapril,67.98953001
213,Infubinol,45.0
214,Infubinol,36.321345799999996
215,Infubinol,45.0
216,Infubinol,48.75311208
217,Infubinol,49.99295391
218,Infubinol,51.8332246
219,Infubinol,56.74200681
220,Infubinol,61.46196976
221,Infubinol,64.14987077
222,Infubinol,67.82141969
223,Infubinol,69.42814095
224,Infubinol,72.2267309
225,Infubinol,45.0
226,Infubinol,46.25011212
227,Infubinol,45.0
228,Infubinol,46.197719899999996
229,Infubinol,49.5096389
230,Infubinol,50.91500662
231,Infubinol,52.36518457
232,Infubinol,54.38093154
233,Infubinol,57.03186187
234,Infubinol,45.0
235,Infubinol,48.28497016
236,Infubinol,49.112399100000005
237,Infubinol,51.52306843
238,Infubinol,54.57107607
239,Infubinol,56.17638452
240,Infubinol,59.41253724
241,Infubinol,61.73019562
242,Infubinol,63.62067958
243,Infubinol,67.68556862
244,Infubinol,45.0
245,Infubinol,46.61105571
246,Infubinol,50.29604123
247,Infubinol,53.24445813
248,Infubinol,54.77896052
249,Infubinol,57.43200731
250,Infubinol,59.74707708
251,Infubinol,60.54156159
252,Infubinol,64.13872489
253,Infubinol,66.19691151
254,Infubinol,45.0
255,Infubinol,48.26620364
256,Infubinol,49.47124419
257,Infubinol,50.47761824
258,Infubinol,54.48451945
259,Infubinol,55.67480798
260,Infubinol,59.24061511
261,Infubinol,62.11727887
262,Infubinol,45.0
263,Infubinol,46.87724316
264,Infubinol,48.6707318
265,Infubinol,49.68344504
266,Infubinol,50.33655288
267,Infubinol,52.31817407
268,Infubinol,54.832628799999995
269,Infubinol,55.62942846
270,Infubinol,45.0
271,Infubinol,49.27309187
272,Infubinol,50.47875016
273,Infubinol,51.1963042
274,Infubinol,51.80794416
275,Infubinol,54.31640682
276,Infubinol,56.28674991
277,Infubinol,58.62839878
278,Infubinol,60.05373963
279,Infubinol,62.75445141
280,Infubinol,45.0
281,Infubinol,46.98212719
282,Infubinol,48.59117901
283,Infubinol,50.53445603
284,Infubinol,54.46259376
285,Infubinol,57.41464570000001
286,Infubinol,59.86124129
287,Infubinol,60.90388455
288,Infubinol,63.09507565
289,Infubinol,65.52574285
290,Infubinol,45.0
291,Infubinol,46.85369669
292,Infubinol,49.86154739
293,Infubinol,51.73656088
294,Infubinol,55.08772445
295,Infubinol,56.68786392
296,Infubinol,59.13364029
297,Infubinol,64.92542037
298,Infubinol,67.28962147
299,Ketapril,45.0
300,Ketapril,46.62845479999999
301,Ketapril,47.57017382
302,Ketapril,51.991708
303,Ketapril,55.57532195
304,Ketapril,56.28906231
305,Ketapril,58.04656941
306,Infubinol,45.0
307,Infubinol,46.7163985
308,Infubinol,47.95384377
309,Infubinol,49.15974862
310,Infubinol,51.90902494
311,Infubinol,52.78048929999999
312,Infubinol,54.65654872
313,Ketapril,45.0
314,Ketapril,45.69418805
315,Ketapril,49.23525948
316,Ketapril,50.65996437
317,Ketapril,53.18987907
318,Ketapril,56.05963409
319,Ketapril,57.31407239
320,Ketapril,58.08902837
321,Ketapril,60.46654541
322,Ketapril,66.26880133
323,Ketapril,45.0
324,Ketapril,46.01600593
325,Ketapril,47.8305568
326,Ketapril,52.10294744
327,Ketapril,53.72124193
328,Ketapril,56.07523001
329,Ketapril,57.99055378
330,Ketapril,63.18943184
331,Ketapril,45.0
332,Ketapril,48.19457788
333,Ketapril,45.0
334,Ketapril,48.78206878
335,Ketapril,49.6470865
336,Ketapril,53.64616804
337,Ketapril,55.09699356
338,Ketapril,57.52444611
339,Ketapril,61.108185999999996
340,Ketapril,64.09488929999999
341,Ketapril,67.74281406
342,Ketapril,69.87225079
343,Ketapril,45.0
344,Ketapril,45.91835225
345,Ketapril,46.97496297
346,Ketapril,47.77793584
347,Ketapril,51.73149416
348,Ketapril,54.27932462
349,Ketapril,55.34134157
350,Ketapril,56.47911257
351,Ketapril,60.23373278
352,Ketapril,45.0
353,Ketapril,46.71787727
354,Ketapril,48.24579043
355,Ketapril,49.87193582
356,Ketapril,51.956993100000005
357,Ketapril,53.17981471
358,Ketapril,57.76995952
359,Ketapril,60.24221931
360,Ketapril,64.48781246
361,Ketapril,45.0
362,Ketapril,48.68546123
363,Ketapril,49.81141262
364,Ketapril,52.86453449
365,Ketapril,56.71023353
366,Ketapril,58.89181644
367,Ketapril,60.49637579
368,Ketapril,61.12448717
369,Ketapril,62.57231816
370,Ketapril,65.41595451
371,Ketapril,45.0
372,Ketapril,47.05966408
373,Ketapril,50.12845481
374,Ketapril,54.78976769
375,Ketapril,58.96572043
376,Ketapril,61.10230575
377,Ketapril,66.33066347
378,Ketapril,70.12623754
379,Ketapril,71.44774251
380,Ketapril,78.56701362
381,Ketapril,45.0
382,Ketapril,48.56249492
383,Ketapril,50.96899763
384,Ketapril,53.14955933
385,Ketapril,56.777938799999994
386,Ketapril,62.253596900000005
387,Ketapril,64.90188755
388,Ketapril,69.26574681
389,Ketapril,70.79706787
390,Ketapril,73.90139912
391,Ketapril,45.0
392,Ketapril,46.20446003
393,Ketapril,48.13348207
394,Ketapril,52.60216564
395,Ketapril,54.25005397
396,Ketapril,56.72009545
397,Ketapril,45.0
398,Ketapril,49.05409736
399,Ketapril,50.54803457
400,Ketapril,51.16606544
401,Ketapril,53.75794476
402,Ketapril,57.62068237
403,Ketapril,60.85654272
404,Ketapril,62.53915386
405,Ketapril,68.21072019
406,Ketapril,69.25350312
407,Ketapril,45.0
408,Naftisol,45.0
409,Naftisol,46.88697137
410,Naftisol,49.65459636
411,Naftisol,52.48480443
412,Naftisol,54.11413742
413,Naftisol,57.89848998
414,Naftisol,60.34181872
415,Naftisol,64.73001045
416,Naftisol,66.64072178
417,Naftisol,69.77854407
418,Naftisol,45.0
419,Naftisol,45.0
420,Naftisol,47.0384145
421,Naftisol,47.88712765
422,Naftisol,50.00231403
423,Naftisol,53.07426973
424,Naftisol,56.89105283
425,Naftisol,58.15869423
426,Naftisol,61.29960778
427,Naftisol,63.28328821
428,Stelasyn,45.0
429,Stelasyn,47.31349062
430,Stelasyn,47.90432375
431,Stelasyn,48.73519714
432,Stelasyn,51.11271293
433,Stelasyn,52.17860221
434,Stelasyn,56.87381654
435,Stelasyn,57.74875831
436,Ramicane,45.0
437,Ramicane,45.72227949
438,Ramicane,44.45437828
439,Ramicane,45.10742313
440,Ramicane,39.50513508
441,Ramicane,37.75314964
442,Ramicane,38.34200823
443,Ramicane,45.0
444,Ramicane,45.62949421
445,Ramicane,44.99148471
446,Ramicane,45.88902756
447,Ramicane,46.58543347
448,Ramicane,40.14645019
449,Ramicane,40.66834256
450,Ramicane,36.56165229
451,Ramicane,45.0
452,Ramicane,44.01490022
453,Ramicane,44.49716216
454,Ramicane,45.25253427
455,Ramicane,42.16834132
456,Ramicane,37.86066936
457,Ramicane,34.75724046
458,Ramicane,35.17014843
459,Ramicane,31.00186078
460,Ramicane,31.56046955
461,Ramicane,45.0
462,Ramicane,45.46667714
463,Ramicane,40.75978762
464,Ramicane,41.48416885
465,Ramicane,38.08737318
466,Ramicane,38.701438399999994
467,Ramicane,39.13073724
468,Ramicane,39.71723589
469,Ramicane,40.25881765
470,Ramicane,38.407618299999996
471,Ramicane,45.0
472,Ramicane,44.00597487
473,Ramicane,44.51255951
474,Ramicane,43.00127957
475,Ramicane,41.71461874
476,Ramicane,42.29139437
477,Ramicane,42.78627835
478,Ramicane,41.73595083
479,Ramicane,42.50492554
480,Ramicane,43.04754260000001
481,Ramicane,45.0
482,Ramicane,41.74635495
483,Ramicane,42.43225791
484,Ramicane,39.47278744
485,Ramicane,37.65209085
486,Ramicane,38.09751328
487,Ramicane,38.71825638
488,Ramicane,37.70852942
489,Ramicane,38.26540379
490,Ramicane,37.31123552
491,Ramicane,45.0
492,Ramicane,45.62071835
493,Ramicane,46.34383237
494,Ramicane,41.12835439
495,Ramicane,41.63534426
496,Ramicane,39.93411249
497,Ramicane,34.67178107
498,Ramicane,35.1155898
499,Ramicane,35.50119014
500,Ramicane,36.13485243
501,Ramicane,45.0
502,Ramicane,45.87754494
503,Ramicane,46.37809248
504,Ramicane,44.18345092
505,Ramicane,45.0
506,Ramicane,38.82589807
507,Ramicane,35.01427146
508,Ramicane,34.22399174
509,Ramicane,32.99772858
510,Ramicane,33.46457735
511,Ramicane,31.09949753
512,Ramicane,26.54699343
513,Ramicane,24.36550471
514,Ramicane,22.05012627
515,Ramicane,45.0
516,Ramicane,45.5786783
517,Ramicane,46.28799223
518,Ramicane,46.94094512
519,Ramicane,43.1263114
520,Ramicane,43.602267299999994
521,Ramicane,44.11827028
522,Ramicane,37.80238546
523,Ramicane,32.83318858
524,Ramicane,33.39765251
525,Stelasyn,45.0
526,Stelasyn,46.32757027
527,Stelasyn,46.88696249
528,Stelasyn,49.11994779999999
529,Stelasyn,50.41475041
530,Stelasyn,52.43173664
531,Stelasyn,54.35158463
532,Stelasyn,55.24096223
533,Stelasyn,56.69172294
534,Stelasyn,61.61960615
535,Ramicane,45.0
536,Ramicane,45.62580225
537,Ramicane,39.453903000000004
538,Ramicane,40.02229235
539,Ramicane,40.7728027
540,Ramicane,37.61401068
541,Ramicane,38.24206639
542,Ramicane,36.00302016
543,Ramicane,36.5200329
544,Ramicane,37.22565033
545,Ramicane,45.0
546,Ramicane,45.55015754
547,Ramicane,46.38071258
548,Ramicane,46.91089166
549,Ramicane,45.86506461
550,Ramicane,41.48122408
551,Ramicane,37.21112063
552,Ramicane,35.12863083
553,Ramicane,35.77945086
554,Ramicane,32.97852192
555,Ramicane,45.0
556,Ramicane,44.06539783
557,Ramicane,41.02092924
558,Ramicane,40.33093479
559,Ramicane,35.34536136
560,Ramicane,34.0821803
561,Ramicane,34.71147302
562,Ramicane,35.1521662
563,Ramicane,35.55793279
564,Ramicane,33.56240217
565,Ramicane,45.0
566,Ramicane,45.85153062
567,Ramicane,40.17055848
568,Ramicane,40.67812852
569,Ramicane,41.211897
570,Ramicane,35.56939935
571,Ramicane,34.95258284
572,Ramicane,30.96039194
573,Ramicane,31.36940573
574,Ramicane,29.12847181
575,Ramicane,45.0
576,Ramicane,38.72370695
577,Ramicane,36.42938781
578,Ramicane,35.590253999999995
579,Ramicane,35.94774514
580,Ramicane,36.55858129
581,Ramicane,36.94770981
582,Ramicane,37.62471026
583,Ramicane,38.25972497
584,Ramicane,38.81036633
585,Ramicane,45.0
586,Ramicane,45.55746444
587,Ramicane,46.42294306
588,Ramicane,47.22717065
589,Ramicane,46.10536303
590,Ramicane,46.70532539999999
591,Ramicane,47.62281636
592,Ramicane,47.00146542
593,Ramicane,43.45368679
594,Ramicane,40.66771292
595,Ramicane,45.0
596,Ramicane,42.99887638
597,Ramicane,43.74822357
598,Ramicane,39.89743533
599,Ramicane,36.71229535
600,Ramicane,37.44444543
601,Ramicane,37.96993365
602,Ramicane,38.62753581
603,Ramicane,35.114575200000004
604,Ramicane,30.56462509
605,Ramicane,45.0
606,Ramicane,43.16637266
607,Ramicane,45.0
608,Ramicane,45.52187471
609,Ramicane,40.3751382
610,Ramicane,36.94027399
611,Ramicane,37.4788685
612,Ramicane,33.20500824
613,Ramicane,33.817758000000005
614,Ramicane,34.48752204
615,Ramicane,34.95473311
616,Ramicane,31.09533505
617,Ramicane,45.0
618,Ramicane,38.71187185
619,Ramicane,34.850997899999996
620,Ramicane,35.27690634
621,Ramicane,35.92865083
622,Ramicane,36.33856894
623,Ramicane,35.47402235
624,Ramicane,35.8461407
625,Ramicane,32.79817119
626,Ramicane,30.27623175
627,Ramicane,45.0
628,Ramicane,45.81628252
629,Ramicane,46.40908385
630,Ramicane,43.55377339
631,Ramicane,44.0012958
632,Ramicane,44.66459432
633,Ramicane,45.35023242
634,Ramicane,43.22027636
635,Ramicane,44.00672385
636,Ramicane,40.65900627
637,Ramicane,45.0
638,Ramicane,42.18878662
639,Ramicane,42.95211843
640,Ramicane,38.68851607
641,Ramicane,36.89001635
642,Ramicane,37.41411419
643,Ramicane,37.81593487
644,Ramicane,38.50482444
645,Ramicane,34.02209336
646,Ramicane,30.63869575
647,Ramicane,45.0
648,Ramicane,45.56821083
649,Ramicane,42.71192694
650,Ramicane,43.52726054
651,Ramicane,44.13631588
652,Ramicane,42.65534089
653,Ramicane,43.41938077
654,Stelasyn,45.0
655,Stelasyn,46.40914339
656,Stelasyn,48.43219661
657,Stelasyn,51.985262899999995
658,Stelasyn,53.67719253
659,Stelasyn,54.70122868
660,Stelasyn,56.20104104
661,Stelasyn,57.30855379
662,Stelasyn,57.92849897
663,Stelasyn,60.12201052
664,Stelasyn,45.0
665,Stelasyn,45.88537038
666,Stelasyn,47.45906658
667,Stelasyn,48.25014636
668,Stelasyn,50.67272745
669,Stelasyn,52.60026955
670,Stelasyn,45.0
671,Stelasyn,47.05418474
672,Stelasyn,48.18900062
673,Stelasyn,49.41262418
674,Naftisol,45.0
675,Naftisol,46.83347493
676,Naftisol,48.0308039
677,Naftisol,49.36813189
678,Naftisol,53.28065717
679,Naftisol,57.94709984
680,Naftisol,59.78963589999999
681,Naftisol,60.43565416
682,Naftisol,62.37663884
683,Naftisol,65.74107029
684,Naftisol,45.0
685,Naftisol,46.14250486
686,Naftisol,48.52974125
687,Naftisol,49.348426200000006
688,Naftisol,52.53376479
689,Naftisol,55.1389525
690,Naftisol,45.0
691,Naftisol,45.656978499999994
692,Naftisol,47.25064148
693,Naftisol,48.43041053
694,Naftisol,50.34492095
695,Naftisol,51.38641908
696,Naftisol,54.98440767
697,Naftisol,58.08655989
698,Naftisol,62.81687083
699,Naftisol,68.3597767
700,Naftisol,45.0
701,Naftisol,45.69925018
702,Naftisol,47.39157120000001
703,Naftisol,51.7916953
704,Naftisol,52.61376289
705,Naftisol,55.22447615
706,Naftisol,56.45872864
707,Naftisol,58.24585435
708,Naftisol,60.23654797
709,Naftisol,63.1056963
710,Naftisol,45.0
711,Naftisol,47.24284357
712,Naftisol,48.16706083
713,Naftisol,51.45397391
714,Naftisol,55.49660753
715,Naftisol,58.05581822
716,Naftisol,60.00720978
717,Naftisol,62.7328576
718,Naftisol,67.2077103
719,Naftisol,69.56362076
720,Stelasyn,45.0
721,Stelasyn,48.24255218
722,Stelasyn,52.77752710000001
723,Stelasyn,54.32831664
724,Stelasyn,57.04618912
725,Stelasyn,58.55361079
726,Stelasyn,63.66896678
727,Stelasyn,64.77657909
728,Stelasyn,67.22100698
729,Stelasyn,72.58896447
730,Stelasyn,45.0
731,Stelasyn,48.95136773
732,Stelasyn,53.52399007
733,Stelasyn,55.26558163
734,Stelasyn,57.28598742
735,Stelasyn,59.01172817
736,Stelasyn,63.44068627
737,Stelasyn,45.0
738,Stelasyn,48.66763075
739,Stelasyn,53.36296294
740,Stelasyn,55.25138033
741,Stelasyn,56.58761679999999
742,Stelasyn,58.09848946
743,Stelasyn,63.26924552
744,Stelasyn,66.4922038
745,Stelasyn,69.03887618
746,Stelasyn,45.0
747,Stelasyn,49.15615628
748,Stelasyn,50.33894583
749,Stelasyn,51.61838657
750,Stelasyn,53.98343568
751,Stelasyn,56.46998744
752,Stelasyn,60.90761481
753,Stelasyn,64.26088633
754,Stelasyn,67.18912666
755,Stelasyn,72.55523894
756,Stelasyn,45.0
757,Stelasyn,46.49302392
758,Stelasyn,50.42124982
759,Stelasyn,51.41964239
760,Stelasyn,55.97440502
761,Stelasyn,56.575194999999994
762,Stelasyn,60.59185755
763,Stelasyn,62.12733561
764,Stelasyn,64.30345451
765,Stelasyn,65.34181087
766,Stelasyn,45.0
767,Stelasyn,49.20305786
768,Stelasyn,50.52355007
769,Stelasyn,54.47453362
770,Stelasyn,57.05784818
771,Stelasyn,58.7192973
772,Stelasyn,60.60543979
773,Stelasyn,66.58072244
774,Stelasyn,67.57134128
775,Stelasyn,69.29914907
776,Stelasyn,45.0
777,Stelasyn,46.88074916
778,Stelasyn,48.18340167
779,Stelasyn,51.06041924
780,Stelasyn,45.0
781,Stelasyn,46.60226878
782,Stelasyn,45.0
783,Stelasyn,48.30182261
784,Stelasyn,48.925056
785,Stelasyn,52.65726519
786,Stelasyn,54.22809098
787,Stelasyn,57.610394299999996
788,Stelasyn,60.72063591
789,Stelasyn,63.68904216
790,Stelasyn,45.0
791,Stelasyn,48.41072109
792,Stelasyn,50.14108401
793,Stelasyn,51.16675687
794,Stelasyn,54.37251567
795,Stelasyn,57.06435479
796,Stelasyn,61.24050573
797,Stelasyn,64.05539896
798,Stelasyn,67.77708036
799,Stelasyn,70.65383162
800,Stelasyn,45.0
801,Stelasyn,49.3426301
802,Stelasyn,50.56689412
803,Stelasyn,52.23071944
804,Stelasyn,54.88332044
805,Stelasyn,58.26988853
806,Stelasyn,63.74319428
807,Stelasyn,65.8079627
808,Stelasyn,70.22229679
809,Stelasyn,74.04039018
810,Stelasyn,45.0
811,Stelasyn,45.75172728
812,Stelasyn,46.23384414
813,Stelasyn,50.69260358
814,Stelasyn,51.99780618
815,Stelasyn,53.73091434
816,Stelasyn,55.45528975
817,Stelasyn,45.0
818,Stelasyn,46.608467100000006
819,Stelasyn,47.65824979999999
820,Stelasyn,49.687051700000005
821,Stelasyn,52.10557382
822,Stelasyn,45.0
823,Stelasyn,47.00062717
824,Stelasyn,47.54584585
825,Stelasyn,49.65770973
826,Stelasyn,50.35806947
827,Stelasyn,52.5447048
828,Stelasyn,56.33910432
829,Stelasyn,59.13102297
830,Stelasyn,45.0
831,Stelasyn,48.04713882
832,Stelasyn,48.95791906
833,Stelasyn,49.65278772
834,Stelasyn,51.06367793
835,Stelasyn,55.52755345
836,Stelasyn,59.27582268
837,Stelasyn,63.75698964
838,Stelasyn,67.65479599
839,Stelasyn,68.7116302
840,Stelasyn,45.0
841,Stelasyn,46.23350581
842,Stelasyn,47.15052201
843,Stelasyn,47.83685218
844,Stelasyn,51.46373448
845,Stelasyn,52.12980374
846,Stelasyn,53.40166738
847,Stelasyn,56.81397646
848,Stelasyn,58.46378685
849,Stelasyn,62.76509317
850,Stelasyn,45.0
851,Stelasyn,49.011180100000004
852,Stelasyn,50.86013006
853,Stelasyn,55.9053436
854,Stelasyn,61.14586638
855,Stelasyn,64.89301976
856,Stelasyn,67.71250988
857,Stelasyn,68.68991735
858,Stelasyn,70.21464419
859,Stelasyn,75.12368955
873,Stelasyn,45.0
874,Stelasyn,45.93471217
875,Stelasyn,45.0
876,Infubinol,45.0
877,Infubinol,47.18836325
878,Infubinol,51.49705412
879,Infubinol,52.60910758
880,Infubinol,54.04860769
881,Ramicane,45.0
882,Ramicane,45.76611104
883,Ramicane,42.53798598
884,Ramicane,41.39566036
885,Ramicane,41.9255866
886,Ramicane,42.57570709
887,Ramicane,43.33916123
888,Ramicane,43.80720142
889,Ramicane,44.47182121
890,Ramicane,45.22086888
891,Infubinol,45.0
892,Infubinol,45.47754399
893,Infubinol,49.77901542
894,Infubinol,52.94946474
895,Infubinol,53.67683960000001
896,Infubinol,57.53419288
897,Infubinol,60.96971133
898,Infubinol,45.0
899,Infubinol,48.5084684
900,Infubinol,51.852437200000004
901,Infubinol,52.7778705
902,Infubinol,55.17333648
903,Infubinol,56.79320832
904,Infubinol,59.52319728
905,Infubinol,61.93165007
906,Infubinol,63.59349002
907,Infubinol,67.97341878
908,Zoniferol,45.0
909,Zoniferol,47.03309963
910,Zoniferol,45.0
911,Zoniferol,45.79170389
912,Zoniferol,49.02659196
913,Zoniferol,53.66494165
914,Zoniferol,54.568195700000004
915,Zoniferol,56.96676876
916,Zoniferol,57.82391556
917,Zoniferol,61.07479506
918,Zoniferol,65.70832272
919,Zoniferol,67.94212107
920,Zoniferol,45.0
921,Zoniferol,46.07719173
922,Zoniferol,47.47172327
923,Zoniferol,49.82500362
924,Zoniferol,45.0
925,Zoniferol,46.56581263
926,Zoniferol,51.07251225
927,Zoniferol,53.94554429
928,Zoniferol,58.84118888
929,Zoniferol,60.25348139
930,Zoniferol,65.89398607
931,Zoniferol,66.74292417
932,Zoniferol,71.10811835
933,Zoniferol,73.32443228
934,Zoniferol,45.0
935,Zoniferol,47.64568674
936,Zoniferol,49.27287011
937,Zoniferol,49.987765700000004
938,Zoniferol,50.98163936
939,Zoniferol,52.32583833
940,Zoniferol,54.40012279
941,Zoniferol,55.36266238
942,Zoniferol,58.64705616
943,Zoniferol,60.75270417
944,Zoniferol,45.0
945,Zoniferol,45.7277604
946,Zoniferol,49.74611666
947,Zoniferol,51.32356994
948,Zoniferol,52.69342276
949,Zoniferol,45.0
950,Zoniferol,46.59323337
951,Zoniferol,48.26950861
952,Zoniferol,49.65324404
953,Zoniferol,51.4471183
954,Zoniferol,55.6701066
955,Zoniferol,57.99770642
956,Zoniferol,60.38451978
957,Zoniferol,62.22191493
958,Zoniferol,68.16319517
959,Zoniferol,45.0
960,Zoniferol,46.61767061
961,Zoniferol,47.47464468
962,Zoniferol,45.0
963,Zoniferol,48.91385977
964,Zoniferol,50.13595547
965,Zoniferol,50.86745176
966,Zoniferol,55.5918155
967,Zoniferol,58.58732169
968,Zoniferol,60.15306524
969,Zoniferol,63.68644503
970,Zoniferol,64.93840621
971,Zoniferol,68.40128593
972,Zoniferol,45.0
973,Zoniferol,46.09704058
974,Zoniferol,46.81817589999999
975,Zoniferol,48.0776464
976,Zoniferol,45.0
977,Zoniferol,47.18380215
978,Zoniferol,49.00186559
979,Zoniferol,50.583557299999995
980,Zoniferol,53.28728681
981,Zoniferol,55.6831017
982,Zoniferol,58.05725257
983,Zoniferol,63.1256593
984,Zoniferol,68.49863876
985,Zoniferol,70.82779631
986,Zoniferol,45.0
987,Zoniferol,47.15443254
988,Zoniferol,48.31937218
989,Zoniferol,49.18838735
990,Zoniferol,53.979679700000005
991,Zoniferol,55.74514628
992,Zoniferol,45.0
993,Zoniferol,47.00059399
994,Zoniferol,48.17971908
995,Zoniferol,49.98830246
996,Zoniferol,45.0
997,Zoniferol,46.7112611
998,Zoniferol,48.34932028
999,Zoniferol,49.58826336
1000,Zoniferol,50.93935278
